zotero_key,item_type,year,first_author,authors,title,journal,doi,url,work_id,is_seed,match,status
843XPMJC,journalArticle,2019,He,He; Sun; Koval; Van Wijk; Hankemeier; Van Der Greef; Van Wijk; Wang,Traditional Chinese Medicine-Based Subtyping of Early-Stage Type 2 Diabetes Using Plasma Metabolomics Combined with Ultra-Weak Photon Emission,Engineering,10.1016/j.eng.2019.03.011,https://linkinghub.elsevier.com/retrieve/pii/S2095809918306696,W2950162936,0,doi,in-universe
JJ8I9P9Y,journalArticle,1991,Galle,Galle; Neurohr; Altmann; Popp; Nagl,Biophoton emission from Daphnia magna: A possible factor in the self-regulation of swarming,Experientia,10.1007/bf01959943,http://link.springer.com/10.1007/BF01959943,W2000660968,0,doi,in-universe
DEDPP32W,journalArticle,2017,Fels,Fels,Endogenous physical regulation of population density in the freshwater protozoan Paramecium caudatum,Scientific Reports,10.1038/s41598-017-14231-0,https://www.nature.com/articles/s41598-017-14231-0,W2765089583,1,doi,harvested
D32TUYRZ,journalArticle,2016,Fels,Fels,Physical Non-Contact Communication between Microscopic Aquatic Species: Novel Experimental Evidences for an Interspecies Information Exchange,Journal of Biophysics,10.1155/2016/7406356,https://www.hindawi.com/journals/jbp/2016/7406356/,W2290818697,1,doi,harvested
EMHGAY7R,journalArticle,2009,Fels,Fels; Carter,Cellular Communication through Light,PLoS ONE,10.1371/journal.pone.0005086,https://dx.plos.org/10.1371/journal.pone.0005086,W2092319343,1,doi,harvested
62AVW6QV,journalArticle,2014,Farhadi,Farhadi,Non-Chemical Distant Cellular Interactions as a potential confounder of cell biology experiments,Frontiers in Physiology,10.3389/fphys.2014.00405,http://journal.frontiersin.org/article/10.3389/fphys.2014.00405/abstract,W1973595116,1,doi,harvested
374KXDUI,journalArticle,2007,Engel,Engel; Calhoun; Read; Ahn; Mančal; Cheng; Blankenship; Fleming,Evidence for wavelike energy transfer through quantum coherence in photosynthetic systems,Nature,10.1038/nature05678,https://www.nature.com/articles/nature05678,W2058468006,1,doi,in-universe
ACXE294Z,journalArticle,2011,Persinger,Persinger; Dotta,Temporal Patterns of Photon Emissions Can Be Stored and Retrieved Several Days Later From the “Same Space”: Experimental and Quantitative Evidence,NeuroQuantology,10.14704/nq.2011.9.4.467,https://neuroquantology.com/article.php?id=2283,W2009830920,1,doi,in-universe
WJYH9IKS,journalArticle,2018,Chrétien,Chrétien; Bénit; Ha; Keipert; El-Khoury; Chang; Jastroch; Jacobs; Rustin; Rak; Lane,Mitochondria are physiologically maintained at close to 50 °C,PLOS Biology,10.1371/journal.pbio.2003992,https://dx.plos.org/10.1371/journal.pbio.2003992,W2950530527,1,doi,harvested
4KA924ZM,journalArticle,2015,Caligiuri,Caligiuri,"Zero-Point Field, QED Coherence, Living Systems and Biophotons Emission",Open Journal of Biophysics,10.4236/ojbiphy.2015.51002,http://www.scirp.org/journal/doi.aspx?DOI=10.4236/ojbiphy.2015.51002,W2004094183,1,doi,harvested
278GQIMR,journalArticle,2000,Burlakov,Burlakov; Burlakova; Golichenkov,Distant wave-mediated interactions in early embryonic development of the loachMisgurnus fossilis L.,Russian Journal of Developmental Biology,10.1007/bf02758907,http://link.springer.com/10.1007/BF02758907,W1987122254,1,doi,in-universe
8VYKRRB2,journalArticle,2016,Burgos,Burgos; Červinková; Van Der Laan; Ramautar; Van Wijk; Cifra; Koval; Berger; Hankemeier; Van Der Greef,Tracking biochemical changes correlated with ultra-weak photon emission using metabolomics,Journal of Photochemistry and Photobiology B: Biology,10.1016/j.jphotobiol.2016.08.030,https://linkinghub.elsevier.com/retrieve/pii/S1011134416302871,W2517373864,1,doi,in-universe
U733CFFC,journalArticle,2016,Burgos,Burgos; Van Wijk; Van Wijk; He; Van Der Greef,Crossing the Boundaries of Our Current Healthcare System by Integrating Ultra-Weak Photon Emissions with Metabolomics,Frontiers in Physiology,10.3389/fphys.2016.00611,http://journal.frontiersin.org/article/10.3389/fphys.2016.00611/full,W2564416915,1,doi,harvested
QWAS8KBB,journalArticle,,Brouder,Brouder; Cifra,Coherence and statistical properties of ultra-weak photon emission,,,,,0,,new-to-universe
63WTEKKM,journalArticle,,Chaban,Chaban; Cho; Reid; Norris,Physically disconnected non-diffusible cell-to-cell communication between neuroblastoma SH-SY5Y and DRG primary sensory neurons,,,,W1523400026,1,title~100,in-universe
K3ZNMAL2,journalArticle,2005,Albrecht-Buehler,Albrecht-Buehler,A long-range attraction between aggregating 3T3 cells mediated by near-infrared light scattering,Proceedings of the National Academy of Sciences,10.1073/pnas.0407763102,https://pnas.org/doi/full/10.1073/pnas.0407763102,W2171244447,1,doi,harvested
WIJDKRQ2,journalArticle,1992,Albrecht-Buehler,Albrecht-Buehler,"Rudimentary form of cellular ""vision""",Proceedings of the National Academy of Sciences,10.1073/pnas.89.17.8288,https://pnas.org/doi/full/10.1073/pnas.89.17.8288,W2082958842,1,doi,in-universe
NIKZBAGZ,journalArticle,2009,Brizhik,Brizhik; Eremko; Piette; Zakrzewski,Effects of Periodic Electromagnetic Field on Charge Transport in Macromolecules,Electromagnetic Biology and Medicine,10.1080/15368370802708223,http://www.tandfonline.com/doi/full/10.1080/15368370802708223,W2049733351,1,doi,in-universe
ZXSXRYDQ,journalArticle,2018,Bordoni,Bordoni; Marelli; Morabito; Sacconi,Emission of Biophotons and Adjustable Sounds by the Fascial System: Review and Reflections for Manual Therapy,Journal of Evidence-Based Integrative Medicine,10.1177/2515690x17750750,https://journals.sagepub.com/doi/10.1177/2515690X17750750,W2787444911,1,doi,harvested
HLGCRSTL,journalArticle,,Beloussov,Beloussov; Burlakov; Louchinskaia,Biophotonic patterns of optical interactions between fish eggs and embryos,,,,W2418169692,1,title~100,in-universe
A8KGLSND,journalArticle,,Bajpai,Bajpai,"Biophotonic route for understanding mind, brain, and the world",,,,W2188393532,1,title~100,harvested
FDTADK4T,journalArticle,1980,Kaznacheev,Kaznacheev; Mikhailova; Kartashov,Distant intercellular electromagnetic interaction between two tissue cultures,Bulletin of Experimental Biology and Medicine,10.1007/bf00834249,http://link.springer.com/10.1007/BF00834249,W1999929459,1,doi,in-universe
FMNLGXXS,journalArticle,2017,Madl,Madl; Verwanger; Geppert; Scholkmann,Oscillations of ultra-weak photon emission from cancer and non-cancer cells stressed by culture medium change and TNF-α,Scientific Reports,10.1038/s41598-017-10949-z,https://www.nature.com/articles/s41598-017-10949-z,W2752165143,1,doi,harvested
8JNSK74U,journalArticle,2018,Zarkeshian,Zarkeshian; Kumar; Tuszynski; Barclay; Simon,Are there optical communication channels in the brain?,Frontiers in Bioscience,10.2741/4652,http://arxiv.org/abs/1708.08887,W2751268700,1,doi,harvested
URVACVE4,journalArticle,2015,Volodyaev,Volodyaev; Beloussov,Revisiting the mitogenetic effect of ultra-weak photon emission,Frontiers in Physiology,10.3389/fphys.2015.00241,http://journal.frontiersin.org/Article/10.3389/fphys.2015.00241/abstract,W1920668343,1,doi,harvested
IWVKWGTC,journalArticle,2017,Tsai,Tsai; Hamblin,Biological effects and medical applications of infrared radiation,Journal of Photochemistry and Photobiology B: Biology,10.1016/j.jphotobiol.2017.04.014,https://linkinghub.elsevier.com/retrieve/pii/S1011134416311691,W2607303579,1,doi,in-universe
Y54GTDYK,journalArticle,2010,Sun,Sun; Wang; Dai,Biophotons as neural communication signals demonstrated by in situ biophoton autography,Photochemical & Photobiological Sciences,10.1039/b9pp00125e,https://link.springer.com/10.1039/b9pp00125e,W2056591841,1,doi,harvested
6B4YUQTS,journalArticle,2019,Usui,Usui; Tada; Kobayashi,Non-invasive visualization of physiological changes of insects during metamorphosis based on biophoton emission imaging,Scientific Reports,10.1038/s41598-019-45007-3,https://www.nature.com/articles/s41598-019-45007-3,W2951811678,1,doi,harvested
QQ9VXHVF,journalArticle,2015,Alvermann,Alvermann; Srivastava; Swain; Widom,Biological electric fields and rate equations for biophotons,European Biophysics Journal,10.1007/s00249-015-1011-3,http://link.springer.com/10.1007/s00249-015-1011-3,W2068083519,1,doi,in-universe
J5ACCWS4,journalArticle,2009,Škarja,Škarja; Jerman; Ružič; LeskovaR; Jejčič,Electric Field Absorption and Emission as an Indicator of Active Electromagnetic Nature of Organisms—Preliminary Report,Electromagnetic Biology and Medicine,10.1080/15368370802711854,http://www.tandfonline.com/doi/full/10.1080/15368370802711854,W2060964109,1,doi,in-universe
RTJL7XN9,journalArticle,2017,Shi,Shi; Luo,Biophotonics in China,Journal of Biophotonics,10.1002/jbio.201790012,https://onlinelibrary.wiley.com/doi/10.1002/jbio.201790012,W2773586629,1,doi,in-universe
CUNDZ52G,journalArticle,2016,Scholkmann,Scholkmann,Long range physical cell-to-cell signalling via mitochondria inside membrane nanotubes: a hypothesis,Theoretical Biology and Medical Modelling,10.1186/s12976-016-0042-5,https://tbiomed.biomedcentral.com/articles/10.1186/s12976-016-0042-5,W2416305713,1,doi,harvested
9I76SYHN,journalArticle,,Rubik,Rubik,"EFFECTS OF INTENTION, ENERGY HEALING, AND MIND-BODY STATES ON BIOPHOTON EMISSION",,,,W2616374599,0,title~100,in-universe
DVLTUSTX,journalArticle,2011,Rossi,Rossi; Foletti; Magnani; Lamponi,New perspectives in cell communication: Bioelectromagnetic interactions,Seminars in Cancer Biology,10.1016/j.semcancer.2011.04.003,https://linkinghub.elsevier.com/retrieve/pii/S1044579X11000289,W2009552889,1,doi,in-universe
CRDFT7SH,journalArticle,1998,Rieke,Rieke; Baylor,Single-photon detection by rod cells of the retina,Reviews of Modern Physics,10.1103/revmodphys.70.1027,https://link.aps.org/doi/10.1103/RevModPhys.70.1027,W2120277394,1,doi,in-universe
T5KYPHGI,journalArticle,,Rác,Rác,Ultra-weak photon emission from U937 cell culture,,,,W2761618328,1,title~100,in-universe
95JZRP6C,journalArticle,2014,,,Ultraweak Electromagnetic Wavelength Radiation as Biophotonic Signals to Regulate Life Processes,Journal of Electrical & Electronic Systems,10.4172/2332-0796.1000126,http://www.omicsgroup.org/journals/ultraweak-electromagnetic-wavelength-radiation-as-biophotonic-signals-to-regulate-life-processes-2332-0796.1000126.php?aid=25407,W2183981096,1,doi,in-universe
QZQA8Z2E,journalArticle,2016,Pang,Pang; Yang; Fu; Zhao; Van Wijk; Wang; Liu; Zhou; Fan; Han,Classification of Chinese herbs based on the cluster analysis of delayed luminescence,Luminescence,10.1002/bio.2987,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/10.1002/bio.2987,W1587300773,1,doi,in-universe
LLNCDZPL,journalArticle,2015,Navrotsky,Navrotsky; Blokhin; Belavskaya; Lisitsyna; Lyutkevich; Poteryaeva; Yudin; Litscher,Patterns of Skin Luminescence Resulting from the Visualization of Active Acupuncture Points Using Optical Stimulation,Integrative Medicine International,10.1159/000433470,https://karger.com/article/doi/10.1159/000433470,,0,,new-to-universe
FW6QMMKM,journalArticle,2018,Murugan,Murugan; Rouleau; Karbowski; Persinger,Biophotonic markers of malignancy: Discriminating cancers using wavelength-specific biophotons,Biochemistry and Biophysics Reports,10.1016/j.bbrep.2017.11.001,https://linkinghub.elsevier.com/retrieve/pii/S2405580817301590,W2769192809,0,doi,harvested
GT38UZWG,journalArticle,1984,Bat'yanov,Bat'yanov,Distant-optical interaction of mitochondria through quartz,Bulletin of Experimental Biology and Medicine,10.1007/bf00804160,https://doi.org/10.1007/BF00804160,W77239587,0,doi,in-universe
RJDMWBRB,journalArticle,2022,Pónya,Pónya; Somfalvi-Tóth,Modelling biophoton emission kinetics based on the initial intensity value in Helianthus annuus plants exposed to different types of stress,Scientific Reports,10.1038/s41598-022-06323-3,https://www.nature.com/articles/s41598-022-06323-3,W4210965550,0,doi,harvested
BRRGUWF3,journalArticle,2001,Tuszyński,Tuszyński; Dixon,Quantitative analysis of the frequency spectrum of the radiation emitted by cytochrome oxidase enzymes,Physical Review E,10.1103/physreve.64.051915,https://link.aps.org/doi/10.1103/PhysRevE.64.051915,W2002991469,0,doi,in-universe
UBM7XQAQ,journalArticle,2023,Mould,Mould; Kalampouka; Thomas; Guy; Nunn; Bell,Non-chemical signalling between mitochondria,Frontiers in Physiology,10.3389/fphys.2023.1268075,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2023.1268075/full,W4386957427,0,doi,harvested
9A9MCPE3,journalArticle,2025,Archana Lakshmaiah,Archana Lakshmaiah,Justification of Ultra weak Photon Emission as a Biomarker for Mitochondrial Function in Plants,The Academic,10.5281/zenodo.15651514,https://zenodo.org/records/15651514,,0,,new-to-universe
FWGWZTNS,preprint,2023,Langer,Langer; Langer,Why are spontaneous bio photons observed only in living organisms? The key role of the proton current in ultra-weak photon emission,,10.1101/2023.09.15.557955,https://www.biorxiv.org/content/10.1101/2023.09.15.557955v1,,0,,harvested
F5GWRPF2,journalArticle,2011,Rahnama,Rahnama; Tuszynski; Bókkon; Cifra; Sardar; Salari,Emission of mitochondrial biophotons and their effect on electrical activity of membrane via microtubules,Journal of Integrative Neuroscience,10.1142/s0219635211002622,https://www.worldscientific.com/doi/abs/10.1142/S0219635211002622,W2161827024,0,doi,in-universe
5WWB6FK8,journalArticle,2017,Burgos,Burgos; Schoeman; Winden; Červinková; Ramautar; Van Wijk; Cifra; Berger; Hankemeier; Greef,Ultra-weak photon emission as a dynamic tool for monitoring oxidative stress metabolism,Scientific Reports,10.1038/s41598-017-01229-x,https://www.nature.com/articles/s41598-017-01229-x,W2606135676,0,doi,harvested
XNX3PKQK,webpage,,,,Fields of the cell,,10.13140/rg.2.1.1029.7044,https://www.researchgate.net/publication/281409607_Fields_of_the_cell,,0,,new-to-universe
LS4XNKLV,journalArticle,,van Wijk,van Wijk; Tjeerdema; Küper-Frerich; van Wijk,Biofotonen en meridianen: op weg naar een nieuwe effectmaat,,,,,0,,new-to-universe
FXXSR4ZD,journalArticle,,van Wijk,van Wijk,Bio-photons and Bio-communication,,,,W2105934620,0,title~97,in-universe
EXEG33MZ,journalArticle,2024,Paolis,Paolis; Francini; Davoli; De Matteis; Scordo; Clozza; Grandi; Pace; Curceanu; Grigolini; Benfatto,Biophotons: A Hard Problem,Applied Sciences,10.3390/app14135496,https://www.mdpi.com/2076-3417/14/13/5496,W4400038049,0,doi,in-universe
HBUBCYH4,journalArticle,2024,Babcock,Babcock,Open quantum systems theory of ultraweak ultraviolet photon emissions: Revisiting Gurwitsch's onion experiment as a prototype for quantum biology,Computational and Structural Biotechnology Journal,10.1016/j.csbj.2024.11.030,https://www.csbj.org/article/S2001-0370(24)00401-X/fulltext,W4404871602,1,doi,harvested
9H4I7YS2,journalArticle,2014,Dotta,Dotta; Vares; Buckner; Lafrenie; Persinger,Magnetic Field Configurations Corresponding to Electric Field Patterns That Evoke Long-Term Potentiation Shift Power Spectra of Light Emissions from Microtubules from Non-Neural Cells,Open Journal of Biophysics,10.4236/ojbiphy.2014.44013,https://www.scirp.org/journal/paperinformation?paperid=49956,W2020374219,1,doi,harvested
HNCL9VR4,journalArticle,2025,Salari,Salari; Seshan; Frankle; England; Simon; Oblak,Imaging Ultraweak Photon Emission from Living and Dead Mice and from Plants under Stress,The Journal of Physical Chemistry Letters,10.1021/acs.jpclett.4c03546,https://doi.org/10.1021/acs.jpclett.4c03546,W4409735377,1,doi,in-universe
AGZLKNNC,journalArticle,2024,Pietruszka,Pietruszka; Marzec,Ultra-weak photon emission from DNA,Scientific Reports,10.1038/s41598-024-80469-0,https://www.nature.com/articles/s41598-024-80469-0,W4404582469,1,doi,harvested
KSVJYXLE,journalArticle,2020,Prasad,Prasad; Gouripeddi; Devireddy; Ovsii; Rachakonda; Wijk; Pospíšil,Spectral Distribution of Ultra-Weak Photon Emission as a Response to Wounding in Plants: An In Vivo Study,Biology,10.3390/biology9060139,https://www.mdpi.com/2079-7737/9/6/139,W3037707140,1,doi,harvested
439HKSND,journalArticle,2022,Tian,Tian; Li; Liu; Zheng; Li; Zhao; Wang; Li; Wang; Gao; Tang; Zhang; Wu,Relationship between delayed luminescence emission and mitochondrial status in Saccharomyces cerevisiae,Scientific Reports,10.1038/s41598-021-04290-9,https://www.nature.com/articles/s41598-021-04290-9,W4205938466,1,doi,harvested
P5SR9UTW,journalArticle,2013,Scholkmann,Scholkmann; Fels; Cifra,Non-chemical and non-contact cell-to-cell communication: a short review,American Journal of Translational Research,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3786266/,W66681095,1,title~100,harvested
A53XF532,journalArticle,2024,Babcock,Babcock; Montes-Cabrera; Oberhofer; Chergui; Celardo; Kurian,Ultraviolet Superradiance from Mega-Networks of Tryptophan in Biological Architectures,The Journal of Physical Chemistry B,10.1021/acs.jpcb.3c07936,https://doi.org/10.1021/acs.jpcb.3c07936,W4394950159,1,doi,harvested
54P77VTH,journalArticle,1923,Gurwitsch,Gurwitsch,Die Natur des spezifischen Erregers der Zellteilung,Archiv für mikroskopische Anatomie und Entwicklungsmechanik,10.1007/bf02111053,https://link.springer.com/article/10.1007/BF02111053,W2021904101,1,doi,harvested
MPFHU66G,journalArticle,,,,A tribute to Fritz-Albert Popp on the occasion of his 70th birthday,ResearchGate,,https://www.researchgate.net/publication/23165441_A_tribute_to_Fritz-Albert_Popp_on_the_occasion_of_his_70th_birthday,W2399369094,1,title~100,in-universe
H2TI3CSK,journalArticle,2020,Esmaeilpour,Esmaeilpour; Fereydouni; Dehghani; Bókkon; Panjehshahin; Császár-Nagy; Ranjbar; Salari,An Experimental Investigation of Ultraweak Photon Emission from Adult Murine Neural Stem Cells,Scientific Reports,10.1038/s41598-019-57352-4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6965084/,W2999575750,1,doi,harvested
EVQEI98Z,journalArticle,1988,Gurwitsch,Gurwitsch,A historical review of the problem of mitogenetic radiation,Experientia,10.1007/bf01953301,https://link.springer.com/article/10.1007/BF01953301,W1969227038,1,doi,in-universe
XJJEE424,journalArticle,2005,Mansfield,Mansfield,Biophoton distress flares signal the onset of the hypersensitive reaction,Trends in Plant Science,10.1016/j.tplants.2005.05.007,https://www.sciencedirect.com/science/article/pii/S1360138505001275,W2013652869,1,doi,in-universe
WL4EXNL2,journalArticle,2024,Schramm,Schramm; Weiß,Bioluminescence – The Vibrant Glow of Nature and its Chemical Mechanisms,ChemBioChem,10.1002/cbic.202400106,https://onlinelibrary.wiley.com/doi/abs/10.1002/cbic.202400106,W4392715050,1,doi,in-universe
YG2NLZNQ,journalArticle,2017,Yang,Yang; Ding; Liu; Fan; Bajpai; Fu; Pang; Zhao; Han,Ultra-weak photon emission in healthy subjects and patients with type 2 diabetes: evidence for a non-invasive diagnostic tool,Photochemical & Photobiological Sciences,10.1039/c6pp00431h,https://link.springer.com/article/10.1039/c6pp00431h,W2594646273,1,doi,in-universe
3GQ5HGVU,journalArticle,2024,Tong,Tong,Biophoton signaling in mediation of cell-to-cell communication and radiation-induced bystander effects,Radiation Medicine and Protection,10.1016/j.radmp.2024.06.004,https://www.sciencedirect.com/science/article/pii/S2666555724000546,W4399870880,1,doi,in-universe
RJNIHFDM,journalArticle,2021,Benfatto,Benfatto; Pace; Curceanu; Scordo; Clozza; Davoli; Lucci; Francini; De Matteis; Grandi; Tuladhar; Grigolini,Biophotons and Emergence of Quantum Coherence—A Diffusion Entropy Analysis,Entropy,10.3390/e23050554,https://www.mdpi.com/1099-4300/23/5/554,W3157775700,1,doi,harvested
2Y4TR82W,journalArticle,2011,Cifra,Cifra; Fields; Farhadi,Electromagnetic cellular interactions,Progress in Biophysics and Molecular Biology,10.1016/j.pbiomolbio.2010.07.003,https://www.sciencedirect.com/science/article/pii/S0079610710000660,W2043432757,1,doi,in-universe
W6ZXGE3C,journalArticle,2018,Saeidfirozeh,Saeidfirozeh; Shafiekhani; Cifra; Masoudi,Endogenous Chemiluminescence from Germinating Arabidopsis Thaliana Seeds,Scientific Reports,10.1038/s41598-018-34485-6,http://www.nature.com/articles/s41598-018-34485-6,W2898432932,1,doi,harvested
NTKK64AG,journalArticle,2017,Poplová,Poplová; Sovka; Cifra; Najbauer,Poisson pre-processing of nonstationary photonic signals: Signals with equality between mean and variance,PLOS ONE,10.1371/journal.pone.0188622,http://dx.plos.org/10.1371/journal.pone.0188622,W2775301342,1,doi,harvested
EHJCKLM7,journalArticle,2019,Dlask,Dlask; Kukal; Poplová; Sovka; Cifra,Short-time fractal analysis of biological autoluminescence,PLOS ONE,10.1371/journal.pone.0214427,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0214427,W2964505745,1,doi,harvested
CF4PJKHM,journalArticle,2018,Guo,Guo; Guo; Zhang; Zhao; Fan; Zhi; Li; Wang,Biological Ultra-weak Luminescence and Its Application to Research of Acupuncture,Zhen Ci Yan Jiu,10.13702/j.1000-0607.170360,,,0,,new-to-universe
T6NRTFYD,journalArticle,1989,Yan,Yan; Shi; Wang,Investigation on the biophysical features of strong luminescence phenomena in the 14 channel of human body,Zhen Ci Yan Jiu,,,,0,,new-to-universe
MTQQDCPU,journalArticle,2009,Park,Park; Kim; Koo,Magneto-acupuncture stimuli effects on ultraweak photon emission from hands of healthy persons,Journal of Acupuncture and Meridian Studies,10.1016/s2005-2901(09)60014-5,,W2034749636,0,doi,in-universe
VMMAVQW7,journalArticle,2004,Yang,Yang; Choi; Woo; Yi; Soh; Yang,Left-right and Yin-Yang balance of biophoton emission from hands,Acupuncture & Electro-Therapeutics Research,,,W130479031,0,title~100,in-universe
ZVB9AHQR,journalArticle,2017,Srinivasan,Srinivasan,Biophotons as Subtle Energy Carriers,International Journal of Yoga,10.4103/ijoy.ijoy_18_17,,W2610561775,0,doi,harvested
TE3MYPHU,journalArticle,2003,Jung,Jung; Woo; Yang; Choi; Lee; Yoon; Yang; Soh,Photon counting statistics analysis of biophotons from hands,Indian Journal of Experimental Biology,,,W116756609,0,title~100,in-universe
3TS7HXPS,journalArticle,2017,Zhao,Zhao; Pang; Fu; Yang; Van Wijk; Liu; Fan; Zhang; Han,Application of Spontaneous Photon Emission in the Growth Ages and Varieties Screening of Fresh Chinese Herbal Medicines,Evidence-Based Complementary and Alternative Medicine,10.1155/2017/9341359,,W2583506909,1,title~100,harvested
R8ARR84E,journalArticle,2003,Cohen,Cohen; Popp,Biophoton emission of human body,Indian Journal of Experimental Biology,,,W203767944,0,title~100,in-universe
TY9LU6XB,journalArticle,2013,Soh,Soh; Kang; Ryu,50 years of bong-han theory and 10 years of primo vascular system,Evidence-Based Complementary and Alternative Medicine,10.1155/2013/587827,,W2100210586,0,doi,harvested
GZDPY834,journalArticle,2005,Jung,Jung; Woo; Yang; Choi; Lee; Yoon; Yang; Lee; Soh,Year-long biophoton measurements: normalized frequency count analysis and seasonal dependency,Journal of Photochemistry and Photobiology B: Biology,10.1016/j.jphotobiol.2004.08.009,https://pubmed.ncbi.nlm.nih.gov/15664502/,W2083791969,1,doi,in-universe
68FWBIXI,journalArticle,2003,Jung,Jung; Yang; Woo; Choi; Yang; Soh,Left-right asymmetry of biophoton emission from hemiparesis patients,Indian Journal of Experimental Biology,,https://pubmed.ncbi.nlm.nih.gov/15244266/,W2418194464,1,title~100,in-universe
QBUN6K42,bookSection,1979,Dobrin,Dobrin; Kirsch; Kirsch; Pierrakos; Schwartz; Wolff; Zeira; Krippner,Experimental measurements of the human energy field,"Psychoenergetic Systems: The Interface of Consciousness, Energy and Matter",,,,0,,new-to-universe
XEG3J5CP,journalArticle,1992,Grasso,Grasso; Grillo; Musumeci; Triglia; Rodolico,Photon emission from normal and tumor human tissues,Experientia,10.1007/bf01923594,,W2016585659,1,doi,in-universe
UJ3549LC,journalArticle,1996,Kobayashi,Kobayashi; Devaraj; Usa; Tanno; Takeda; Inaba,Development and applications of new technology for two-dimensional space-time characterization and correlation analysis of ultraweak biophoton information,Frontiers in Medical and Biological Engineering,,,W593033248,1,title~100,in-universe
G7J3ATLW,bookSection,1992,Inaba,Inaba,Ultrasensitive Measurements and Studies on Biophoton as Biological Information in the Optical Region,Recent Advances in Biophoton Research and its Applications,,,,0,,new-to-universe
G5ABP667,journalArticle,2007,Lanzano,Lanzano; Scordino; Privitera; Tudisco; Musumeci,Spectral analysis of Delayed Luminescence from human skin as a possible non-invasive diagnostic tool,European Biophysics Journal,10.1007/s00249-007-0156-0,,W2060112803,1,doi,in-universe
3DMRSF5R,journalArticle,2017,Hossu,Hossu; Ma; Zou; Chen,Spontaneous photon emission: A promising non-invasive diagnostic tool for breast cancer,Journal of Photochemistry and Photobiology B: Biology,10.1016/j.jphotobiol.2017.03.017,,W2601071565,1,doi,in-universe
DRKEW27H,conferencePaper,2007,Musumeci,Musumeci; Lanzano; Privitera; Tudisco; Scordino,Spectral analysis of photo-induced delayed luminescence from human skin in vivo,,10.1117/12.727696,,W1982846402,1,doi,in-universe
A2AHQ64H,journalArticle,2010,Sun,Sun; Wang; Dai,Whole-body biophoton emission and type 2 diabetes,Journal of Photochemistry and Photobiology B: Biology,10.1016/j.jphotobiol.2010.05.002,,W2030094317,1,doi,in-universe
6ZBLHGY7,journalArticle,2007,Zhang,Zhang; Wu,Biophoton emission measurement as a new method for evaluating meridian-visceral correlation in traditional Chinese medicine,Chinese Journal of Integrative Medicine,10.1007/s11655-007-0157-z,,,0,,new-to-universe
426BEHJ7,journalArticle,2023,Du,Du; Liu; Cao; Wang; Yang; Han,Ultra-weak photon emission as a potential tool for evaluating the therapeutic effect of traditional Chinese medicine in patients with type 2 diabetes,Heliyon,10.1016/j.heliyon.2023.e18494,,W4384937102,1,doi,harvested
P2344NNY,journalArticle,1992,Benschoten,Benschoten,Measurement of acupoint biophoton emissions via Omura's bidigital O-ring test with case studies,American journal of acupuncture,,,W2464845883,1,title~100,in-universe
CVIGKJCF,journalArticle,1986,Swinbanks,Swinbanks,Japan: Body light points to health,Nature,10.1038/324203a0,https://doi.org/10.1038/324203a0,W90704230,1,doi,in-universe
2F9G2SEM,journalArticle,2010,Rahnama,Rahnama; Bókkon; Tuszyński; Cifra; Sardar; Salari,Emission of Biophotons and Neural Activity of the Brain,,,,W1587710847,1,title~100,in-universe
YBKDRVZN,bookSection,2023,Scholkmann,Scholkmann,"Chronobiological Aspects of Spontaneous Ultra-Weak Photon Emission in Humans: Ultradian, Circadian and Infradian Rhythms",Ultra-Weak Photon Emission from Biological Systems: Endogenous Biophotonics and Intrinsic Bioluminescence,,,W4389669576,1,title~100,in-universe
9D2VAX8E,conferencePaper,2018,Iwasa,Iwasa; Kobayashi,Imaging and Spectral Analysis of Ultra-weak Biophoton Emission and Delayed Luminescence from Human Skin,,10.1364/cleopr.2018.w3a.131,https://opg.optica.org/abstract.cfm?URI=CLEOPR-2018-W3A.131,W2901647312,1,doi,in-universe
NY59XVXM,journalArticle,2021,Gabe,Gabe; Takeda; Tobiishi; Kikuchi; Tsuda; Haryuu; Nakajima; Inomata; Nakamura; Murase; Tokunaga; Miyaki; Takahashi,Evaluation of subclinical chronic sun damage in the skin via the detection of long-lasting ultraweak photon emission,Skin Research and Technology,10.1111/srt.13059,https://onlinelibrary.wiley.com/doi/abs/10.1111/srt.13059,W3161649687,1,doi,in-universe
JIFR3QKN,journalArticle,2008,Slawinski,Slawinski; Gorski,Imaging of biophoton emission from electrostimulated skin acupuncture point jg4: Effect of light enhancers,INDIAN J EXP BIOL,,,W2394747972,1,title~100,in-universe
6FSBIE3S,journalArticle,2008,Niggli,Niggli; Tudisco; Lanzanò; Applegate; Scordino; Musumeci,Laser-Ultraviolet-A induced ultra weak photon emission in human skin cells: A biophotonic comparison between keratinocytes and fibroblasts,INDIAN J EXP BIOL,,,W2308866,1,title~100,in-universe
VFDVQCWL,journalArticle,1995,Usa,Usa; Inaba,Spontaneous photon emission from human body,Medical Imaging Technology,,,,0,,new-to-universe
